"label","project_acronym","title","abstract","pi","year","project_budget","host_institution","screened_abstracts","notes"
"ref_055","PRE-ECO","A new paradigm to re-engineering printed composites","Additive manufacturing and Automated Fibre Placement (AFP) processes brought to the emergence of a new class of fibre-reinforced materials. namely, the Variable Angle Tow (VAT) composites. AFP machines allow the fibres to be relaxed along curvilinear paths within the lamina, thus implying a point-wise variation of the material properties. In theory, the designer can conceive VAT structures with unexplored capabilities and tailor materials with optimized stiffness-to-weight ratios. In practise, steering brittle fibres, generally made of glass or carbon, is not trivial. Printing must be performed at the right combination of temperature, velocity, curvature radii and pressure to preserve the integrity of fibres. The lack of information on how the effect of these parameters propagates through the scales, from fibres to the final structure, represents the missing piece in the puzzle of VAT composites, which today are either costly or difficult to design because affected by unpredictable failure mechanisms and unwanted defects (gaps, overlaps, and fibre kinking). This proposal is for an exploratory study into a radical new approach to the problem of design, manufacturing and analysis of tow-steered printed composite materials. The program will act as a pre-echo, a precursor, to: 1) implement global/local models for the simulation and analysis of VATs with unprecedented accuracy from fibre-matrix to component scales. 2) develop a (hybrid) metamodeling platform based on machine learning for defect sensitivity and optimization. and 3) set new rules and best-practices to design for manufacturing. A 5-year, highly inter-disciplinary programme is planned, encompassing structural mechanics, numerical calculus, 3D printing and AFP, measurements and testing of advanced composites, data science and artificial intelligence, and constrained optimization problems to finally fill the gap between the design and the digital manufacturing chain of advanced printed materials.","PAGANI Alfonso",2019,1477901,"Polytechnic University of Turin","selected",NA
"ref_056","NEMOCRYS","Next Generation Multiphysical Models for Crystal Growth Processes","Crystalline materials are indispensable for the contemporary world and silicon crystals in particular have enabled the technological progress from first transistors to quantum computers. Such crystals are produced in high-temperature processes with a permanent demand to improve both material quality and efficiency of mass production. The high complexity of the growth processes involving various physical phenomena from electromagnetism to fluid dynamics as well as the limited possibilities of direct measurements make process optimization very challenging. Numerical simulation is often used, but due to limited accuracy of the models, experimental trial-and-error still dominates in practice as I have directly experienced while developing crystal growth methods both on research and industrial scales for more than a decade. There is a series of fundamental assumptions in multiphysical models that have been used for many crystal growth processes of various materials but have never been thoroughly validated. I propose to build a general experimental platform (MultiValidator) to address these challenges and, for the first time, to consider the complete physical complexity of a real growth process. A unique crystal growth setup will be developed for a model material (e.g., Ga) to enable low working temperatures, relaxed vacuum-sealing requirements and easy experimental access for various measurement techniques simultaneously (e.g., flow velocity and thermal stress fields). In this way, a new level of physical understanding and a new generation of multiphysical models for crystal growth processes will be established. The following paradigm change in the way how we observe, describe and develop crystal growth processes and similar complex multiphysical systems will minimize the necessary experimental cycles and open new horizons for a scientific analysis as well as for smart process control, for example, within the Industry 4.0 initiative.","Dadzis Kaspars",2019,1499375,"Research Association Berlin","excluded",NA
"ref_057","MUCUS","Modelling revolUtion for Complex flUid flow over Surfaces and walls","Complex fluids transport and flow over surfaces governs the production of many European and global industries, along with natural hazards. Unability to predict and control such flows leads to technological barriers for novel applications (such as 3D printing, with groundbreaking potential from tissue engineering to sustainable foods). Traditional process industries waste energy when trying to improve mixing and prevent clogging (10% of the energy consumption of the world is estimated to come from handling of granular materials, of which complex fluids are an important part). These processes are extremely challenging to control, because theories for complex fluid flows have large gaps, in particular fluids with yield-stress (that flow when sheared strongly, but are solids otherwise). The MUCUS proposal will revolutionize the state-of-the-art understanding of complex fluid flow over surfaces, by simulations which were impossible until now. This will be achieved by our high-fidelity methods that for the first time enabled three-dimensional direct numerical simulations of turbulent yield-stress fluids, suspensions of tens of thousands of particles, and advanced dynamical analyses of complex flows. Processes designed for Newtonian fluids do not work for complex fluids, and there is an urgent need for improved theories and models. In 3D printing important questions relate to flow properties of the ink/gel before it dries and its yield stress. Very little is known about inertial, transient yield-stress fluid flow over surface hills, grooves and wettability patterns. MUCUS proposal aims to: i) reveal unique new insight of the inertial transport, mixing, spreading and impact of complex fluids on surfaces ii) create the first database in the field of yield-stress fluid simulations, experiments and their cross-validation, and iii) develop novel analysis tools, and couplings between micro- and macrostructure, to enable controlled design of complex fluids processes in the future","TAMMISOLA Outi",2019,1499987,"Royal Institute of Technology (KTH)","excluded",NA
"ref_058","3DScavengers","Three-dimensional nanoscale design for the all-in-one solution to environmental multisource energy scavenging","Imagine a technology for powering your smart devices by recovering energy from lights in your office, the random movements of your body while reading these lines or from small changes in temperature when you breathe or go out for a walk. This very technology will provide energy for wireless sensor networks monitoring the air in your city or the structural stability of buildings and large constructions remotely and sustainably, avoiding battery recharging or even replacing them. These are the challenges in micro energy harvesting from (local) ambient sources. Kinetic, thermal and solar energies are ubiquitous at our surroundings under diverse forms, but their relatively low intensity and intermittent availability limit their potential recovery by microscale devices. These restrictions call for multi-source energy harvesters working under two principles: 1) combining different single-source harvesters in one device, or 2) using multifunctional materials capable of simultaneously converting various energy sources into electricity. In 1), efficiency per unit volume can decrease compared to the individual counterparts. in 2), materials as semiconductors, polymeric and oxide ferroelectrics and hybrid perovskites may act as multisource harvesters but huge advances are required to optimize their functionalities and sustainable fabrication at large scale. I propose to fill the gap between these approaches offering an all-in-one solution to multisource energy scavenging, based on the nanoscale design of multifunctional three-dimensional materials. The demonstration of an industrially scalable one-reactor plasma/vacuum method will be crucial to integrate hybrid-scavenging components and to provide 3DScavengers materials with tailored microstructure-enhanced performance. My ultimate goal is to build nanoarchitectures for simultaneous and enhanced individual scavenging applying photovoltaic, piezo- and pyro-electric effects, minimizing the environmental cost of their synthesis","BORRAS MARTOS Ana Isabel",2019,1498414,"Spanish National Research Council (CSIC)","selected",NA
"ref_059","NanoBiOptics","A Synthetic Biology Approach to Developing Optical NanoAnalytics","Bioengineering is the synthetic biologist’s approach to engineering materials. It allows researchers to overcome billions of years of evolution to create unnatural biomolecules equipped with interactions unfounded in nature. Biomolecules offer unparalleled molecular recognition that can be tuned by engineers to create highly specific sensors. Unfortunately, biology has its limits. many biological optical sensors rely on fluorophores with limited lifetimes and visible emissions that overlap with tissue absorption. Unlike these fluorophores, single-walled carbon nanotubes benefit from fluorescence that is indefinitely photostable, demonstrating sensitivities that can detect analytes down to the single molecule. Their near-infrared wavelengths are also transparent to tissue absorption, allowing for continuous in vivo sensing. Unfortunately, these nanomaterials lack the molecular recognition biology has to offer. In a sense, the advantages and disadvantages posed by the fields of bio- and nano-materials engineering are highly complementary. This proposal envisions a new generation of NanoBiOptic devices – devices that exploit the synergy of nano-bio hybrids – for sensing applications. We aim to bring to the nanosensor community what directed evolution has brought to chemistry. a guided approach to tuning interactions. We apply bioengineering techniques, such as artificial nucleic acid design as well as directed evolution, to circumvent current limitations in engineering nanosensors. In demonstrating these techniques, we realize previously intractable optical platforms for bioanalyte detection, as well as a single-molecule basis for imaging DNA-protein interactions, such as those found in CRISPR. Synthetic biology thus has the potential to complement the physical sciences in the engineering of new synthetic optical platforms, enabling a “revolution through evolution” of synthetic nanomaterials.","BOGHOSSIAN Ardemis",2019,1499495,"Swiss Federal Institute of Technology Lausanne (EPFL)","excluded",NA
"ref_060","CQWLED","Overcoming the efficiency limitation of semiconductor quantum dot-based light-emitting diodes","The colloidal quantum dots (CQDs) are an emerging class of light-emitting compounds for solution-processed optoelectronics such as the light-emitting diodes (LEDs). Compared to the state-of-the-art compound semiconductors and organic light emitting diodes (OLED), the CQD-based LEDs possess extremely high color purity and low materials cost, representing the only feasible materials solution towards realization of the newly-defined Rec. 2020 standard for the next-generation displays. However, the theoretical upper limit of the device external quantum efficiency (EQE) is only ~20%, considerably lower than those in OLEDs and InGaN LEDs. The fundamental bottleneck is that it is not yet possible to control the emission directionality perpendicular to the substrate plane in the CQD superlattices, without compromising the photoluminescence quantum yield (PLQY). As a result, a lot of photons are wasted due to the total internal reflection (TIR) at the air/glass interface, as well as exciton quenching during interparticle energy transfer. In order to overcome the efficiency limitation, my research group pioneers synthesis, physics, and LED device of layer-controlled colloidal quantum wells (CQWs) of organic-inorganic hybrid lead halide perovskites (OIHPs), the two-dimensional nanocrystals of OIHP in colloidal solution. Our results have suggested that the materials system might be the ultimate solution for the quantum-dot based LEDs. We found that the CQWs possess: (i) the aggregation-induced emission (AIE) characteristics, boosting the film PLQY up to 97%, and (ii) the emission directionality (ED) perpendicular to the substrate plane in their self-assembled superlattices. Based on the new photophysical properties that have never been found in any other CQD systems, in this proposal, we aim to optimally utilize the characteristics of the AIE and ED, in order to realize high-efficiency and long-lifetime LED technology that can fulfill 100% Rec. 2020 color gamut.","SHIH Chih-Jen",2019,1498515,"Swiss Federal Institute of Technology Zurich (ETH Zurich)","excluded",NA
"ref_061","DESCALE","De-railing scaling: From fundamentals of crystallization fouling on nano-materials to rational design of scale-phobic surfaces","Crystallization fouling, a process where scale forms on surfaces, is pervasive in nature and technology, negatively impacting the energy conversion and water treatment industries. Despite significant efforts, rationally designed materials that are intrinsically resistant to crystallization fouling without the use of active methods like antiscalant additives (which can persist long after their disposal and the toxicological impact of which in effluent is questioned) remain elusive. This is because antiscalant surfaces are constructed today without sufficient reliance on an intricate but necessary science-base, of how interweaved interfacial thermofluidics, nucleation thermodynamics, and surface nanoengineering control the onset of nucleation and adhesion of frequently encountered scaling salts like calcium carbonate and calcium sulfate. Such scaling salts are common components of fouling deposits in industrial heat exchangers and membranes, which significantly inhibit heat transfer and flow performance. Therefore, guided by interfacial thermofluidic and thermodynamics theories, and employing advanced experimental methods in the areas of surface nanoengineering and diagnostics, this project will develop an integrated knowledge-base for how engineered surfaces can beneficially interact with interfacial transport phenomena in order to significantly advance antiscalant surfaces. We aim to pinpoint mechanisms for inhibiting scale nucleation and reducing adhesion in order to design and engineer antiscalant materials based on the collaborative action of their composition and topography. The effects of surface texture curvature, surface composition, and substrate compliance on scale nucleation and adhesion have intertwined and sometimes competing impacts, which we aim at elucidating to realize high performance scale-phobic surfaces. Connected to this are cutting edge materials fabrication techniques and considerations to the development of surfaces for future applications.","Schutzius Thomas",2019,1963625,"Swiss Federal Institute of Technology Zurich (ETH Zurich)","excluded",NA
"ref_062","NanoMMs","Solution-Based Engineering of Nanodimensional Phase-Change Materials and Memory Devices","Phase-change memory (PCM) is a recently-commercialized next-generation memory storage technology that provides a sustainable solution to exponentially-growing memory storage demands of modern society. It is based on resistively switched structural changes of memory cell upon local crystallization and melting phase transitions, resulting in amorphous or crystalline atomic structures with distinctly different “0” and “1” resistance states. PCM is faster and more durable than state-of-the-art non-volatile memory devices like silicon-based solid-state drives (SSD), and it can furthermore be scaled in all three dimensions. However, there are open challenges for PCM technology, such as large power consumption and high price of PCM devices, which stem from large dimensions of memory cells, complex fabrication process, and from use of material-inefficient sputtering and etching fabrication steps for the expensive PCM layer. This proposal addresses the open challenges and enables further development of PCM technology by applying solution-based engineering. Our goals are (i) to develop robust synthetic approaches for PCM materials, such as ternary tellurides and antimony-rich compositions, in the form of colloidal nanoparticles and molecular ink precursors. (ii) to thoroughly study how PCM properties change at the nanoscale as a function of size, thickness, and composition. and (iii) to employ these phase-change nanomaterials in solution-processed PCM arrays to build new, ultrasmall PCM configurations as well as multilayer PCM cells and to reduce their price and power consumption.","Yarema Maksym",2019,1604600,"Swiss Federal Institute of Technology Zurich (ETH Zurich)","excluded",NA
"ref_063","TAMING CORROSION","Towards mastering the long-standing challenge of ageing infrastructures in corrosive environments","TAMING CORROSION proposes a radically new approach to the long-standing challenge of mitigating corrosion of infrastructures – such as bridges, pipelines, etc. The socio-economic burden of replacing and repairing infrastructures due to corrosion is staggering. In the EU alone, estimates are in the range of 250 billion € annually, with an expected steep increase over the coming decades. This urgently calls for new, cost-effective corrosion mitigation strategies to prolong the useful life of ageing civil infrastructures. Electrochemical corrosion protection (ECP) methods have a large potential to play a key role in addressing this challenge. However, to match these expectations, game-changing advances are needed in both science and engineering. Limited routine use and poor engineering practice of ECP can be traced to insufficient theoretical grounds and a lack of fundamental quantification of key processes. The aim of this proposal is to develop the scientific basis to deliver the first scientifically anchored engineering model and to unlock the potential of ECP as an innovative solution to the grand challenge of rapidly deteriorating infrastructures. The focus areas include: 1) for the first time integrating all relevant physical, chemical, and electrochemical processes into a quantitative model framework for the systematic study of fundamental processes and evaluation of solution strategies. An important novelty lies in combining reactive transport modeling in porous media with rigorous corrosion science. 2) Elucidating the poorly understood role of microbiology in corrosion. and 3) Devising new experiments that link corrosion science and electrochemistry with environmental science methods. Only by delivering ground-breaking scientific contributions will it be possible to abandon empiricism in the field and pave the way towards a new, scientifically sound generation of ECP technology to ensure safety, cost-efficiency, and sustainability of our infrastructures.","ANGST Ueli",2019,1497815,"Swiss Federal Institute of Technology Zurich (ETH Zurich)","excluded",NA
"ref_064","MULTIMAG","Multiscale Magnetic Models for Emerging Energy Conversion Applications","About 30 % of all the electrical power generated passes through a power electronic converter, and the proportion is expected to rise to 80 % in 10-15 years. The amount of electricity annually wasted due to the losses in such systems in the EU corresponds to at least billions of euros. A major part of these losses arises in passive magnetic components, such as inductors and transformers, which are also the largest and heaviest components of a power electronic device. The physical phenomena related to the power losses in the magnetic cores of these components are not properly understood at the moment. In addition, the engineering community is currently lacking efficient modeling tools for analyzing the losses in the windings of such components at high frequencies. Improvement of high-frequency magnetic components would require accurate understanding of the power loss mechanisms. However, the device-level losses are affected by physical effects taking place in the microscopic grain and domain structures and very thin conductors, which are often subject to geometrical uncertainties. Accurate geometrical models cannot be used for analyzing the devices due to the impossibly large computational burden. In MULTIMAG, we will address these challenges by establishing a set of new multiscale numerical modeling tools, which will provide insight into the origin of the power losses and make it possible to perform statistical analysis of the electromagnetic behaviour of such components. The application potential of these new numerical tools will be demonstrated by designing working prototypes of emerging power electronic devices, such as a solid-state transformer and a wireless power transfer system. We will also develop inverse problem approaches for identifying the models from available catalog data, lowering the threshold for adopting the models into use. As the outcome, new means for improving the energy efficiency and power density of power electronic devices will arise.","RASILO Paavo",2019,1500000,"Tampere Universities","excluded",NA
"ref_065","FunBlocks","Fundamental Building Blocks – Understanding plasticity in complex crystals based on their simplest, intergrown units","New structural materials with higher strength and temperature capabilities are the key enablers of sustain-able energy conversion and transport technology of the future. The question is: How do we find those central high-performers combining high strength and the essential deformability giving safety in application? It is the aim of FUNBLOCKS to provide the first systematic studies of plasticity mechanisms in the most fundamental building blocks of complex crystals. These will allow us to deduce the missing basic mechanisms and signatures of plasticity. FUNBLOCKS will take a new approach by studying the much simpler sub-units that form the multitude of more complex crystals with large unit cells amongst the intermetallics. This has three major implications: i) the reduction to fundamental units allows suffi-cient time to unravel the major deformation mechanisms to the atomic level, ii) the recurrent nature of the few fundamental building blocks will allow a transfer of this knowledge to a large number of complex phases and iii) together, this will enable data mining from the vast and largely unexplored phase space of intermetallics. The key aspect of FUNBLOCKS is therefore to close the existing gap in knowledge and allow us to find promising new phases by elucidating the fundamental relationships between crystal structure and plasticity beyond what we know in simple metals. To identify and quantify the intrinsic mechanical properties of each sub-unit, state-of-the-art micromechanical testing techniques will be used. Transfer of data and verification of the central hypothesis, that fundamental units govern plasticity in complex crystals, will be achieved via additional alloyed crystals forming ternary variants of the binary structures. Ultimately, FUNBLOCKS will answer fundamental questions in plasticity, most prominently the interplay of deformation and structure in complex crystals, and thereby support the development of new high performance materials.","KORTE-KERZEL Sandra",2019,1499719,"Technical University of Aachen","excluded",NA
"ref_066","ThermoTON","Thermophone - a novel heat transfer based approach to global TOnal Noise cancellation in aviation","Limiting the number of people affected by significant aircraft noise is one of the most important tasks of modern civil aviation. Among different contributors, tonal noise is the most important due to regulatory definitions and its attenuation characteristics, with the largest contributor being the fan aero-acoustics. Current passive noise reduction methods alone are insufficient to conform with the increasingly stringent noise emission regulations. This motivates our research in active noise cancellation, based on creation of equal amplitude and frequency pressure waves, in opposite phase to the disturbance. Having identified that the actuator technology is the main hindrance against hardware implementation in flying platforms, we have been investigating a revolutionary technology based on a truly static and surface-deposited sound emitter (thermophone), which creates pressure fields by thermo-acoustic effects rather than the vibro-acoustics utilized by common speakers. Comprising of a periodically Joule heated electrically conductive thin layer, a highly efficient thermophone requires modeling of non-Fourier heat conduction in deposits. The project is divided into 4 multi-disciplinary objectives: 1. Derivation of accurate macro-scale heat conduction model, including non-Fourier effects 2. Developing thermophone performance model by analyzing thermo-acoustic effect 3. Optimization of performance by material and geometric selection, and by manufacturing processes 4. Demonstrating aero-acoustic fan noise cancelation via the thermo-acoustic effect created by static heat flux transducer In addition to the significance that this project will have to the field of aviation, I strongly believe that successful completion of each work package will provide dramatic improvements over the state of the arts in conduction heat transfer modelling, consumer electronics such as speakers, manufacturing methods for thermo-acoustic devices, and active aero-acoustic noise cancellation.","Cukurel Beni",2019,1993265,"Technion - Israel Institute of Technology","excluded",NA
"ref_067","Extr3Me","Extreme Mechanics of Metamaterials: From ideal to realistic conditions","Manipulating physical signals such as light, sound, heat or motion is a vital challenge in multiple areas of science. Due to recent advances in digital fabrication techniques, the last years have seen a revolution in artificial periodic composites with on-demand electromagnetic, acoustic, thermal and mechanical properties. These so-called metamaterials become particularly interesting in mechanics, where geometrical effects and nonlinearities are much stronger than in any other physical field. Over the past 5 years, the community -including myself- has discovered a plethora of “extreme” functionalities, e.g. mechanical metamaterials that are very light, stiff and strong at the same time, that have negative elastic moduli or that exhibit programmable shape-changes. Importantly, such advanced properties are typically designed through a purely geometrical framework. Yet, this impressive progress is so far confined to idealized settings, namely for homogeneous boundary conditions, imperfection-free structures and purely elastic constituents under quasi-static driving. This traditional focus severely limits our understanding of metamaterials and their potential for applications. Here, I propose to uncover the extreme mechanics of metamaterials under realistic conditions. Specifically, by generalizing the geometrical framework to allow for deviations from the ideal limit, and by validating it through a wide array of experimental and numerical techniques, I will establish: 1) the effect of inhomogeneous boundary conditions. 2) the sensitivity to geometric imperfections. 3) the role of dissipation. Just as the fundamental understanding of defects and dislocations revolutionized materials science, by exploring perturbations in metamaterials I will push the frontiers of solids mechanics and open up avenues for the design of robust advanced functionalities tailored to realistic complex scenarios, from prosthetics to aerospace.","COULAIS Corentin",2019,1499478,"University of Amsterdam","selected",NA
"ref_068","CardioZoom","High-fidelity Cardiovascular Modeling from Super-Fast Magnetic Resonance Imaging","Biophysical computational models of the cardiovascular system need to be adapted to each particular patient from clinical data. The state-of-the-art imaging method for assessing cardiovascular diseases is Magnetic Resonance Imaging (MRI), which is hence the preferred source of data for the personalization of the models. However, MRI is still not able to reliably image the kinematics of thin structures like cardiac valves and the arterial wall. Moreover, MRI measurements of the 3D kinematics of the heart is a challenging task. These restrictions hamper the clinical translation of patient-specific modeling. Therefore, a new paradigm for model personalization is urgently needed. The ambition of CardioZoom is to propose novel methods for biophysical parameter estimation in computational models of the heart, large vessels and valves using MRI data acquired in very short scan times. The approach will be based on the deep integration imaging and biophysical principles, relaxing the constraints of standard cardiovascular imaging implying long MRI scans. Extensive validations using experimental (phantom) data will be performed and tests on volunteer and patients data are planned. The findings of CardioZoom will allow obtaining clinically feasible, detailed characterizations of the cardiovascular system.","BERTOGLIO Cristóbal",2019,1498514,"University of Groningen","excluded",NA
"ref_069","ROMB","Retina Organoid Mechanobiology","The retina carries signatures of neuronal diseases which have been linked to mechanical abnormalities, including Glaucoma and Alzheimer’s disease. Yet no biophysical retina model exists due to a cross-disciplinary challenge: While stem cell derived organoids mimic the retina in vitro, organoid research has been limited by large variations in cell and tissue organization. Mechanobiology, in turn, has revealed mechanical signals as essential players in regulating cellular behavior to guide organogenesis. Accordingly, the ball is in the court of physicists and bioengineers to quantify those mechanical signals and shape tissue growth by tailoring the physical interactions of cells with their environment. Finally, the functionality of the retina has to be quantified via neuroscience techniques. This multifaceted challenge has prevented the establishment of the retina organoid as a biophysical model. ROMB introduces a biophysical model for the retina which I will use to model Alzheimer’s disease in vitro. It will be built on 4 cross-disciplinary posts: (i) retina organoids as a physiological in vitro model, (ii) tissue mechanics measurements, (iii) neuronal activity readout and (iv) disease modeling. First, I will reveal the mechanical building plan of retina organoids using ferrofluid droplets as mechanical actuators, hereby opening the field of organoid mechanobiology. In a second step, the organoid’s 3D neuronal function will be recorded using lightsheet microscopy. Mechanical, functional and genetic access will allow me in a final step to detect and manipulate Alzheimer’s disease: using mouse retina organoids with a mutation in the App gene, I will mechanically characterize the formation of those peptide aggregates which are the hallmark of disease onset. ROMB opens the door to engineering functional retinas in vitro. Moreover, it will be uniquely suited to tackle mechanically related neuronal diseases and promises a breakthrough for basic and applied research.","Serwane Friedhelm",2019,1497175,"University of Munich (LMU)","excluded",NA
"ref_070","SYNBIO.ECM","SYNBIO.ECM: Designer extracellular matrices to program healthy and diseased cardiac morphogenesis","To meet medical needs worldwide, tissue engineering must move from successful pre/clinical products towards an effective process to meet Worldwide medical needs, but this is challenging since a quantitative design framework has not emerged, yet. Synthetic biology (SYNBIO) was the solution that genetic engineers found to the same problem: “Despite tremendous individual successes in genetic engineering and biotechnology […], why is the engineering of useful synthetic biological systems still an expensive, unreliable and ad hoc research process?” asked Dr. Endy in a 2005 letter to Nature. The SYNBIO solution included: i) libraries of DNA parts with well-characterized effect on cells. ii) tools to computationally design system-level assemblies, or designer-DNA. and, iii) bottom-up engineering of cell functions using progressively more complex designer-DNA. Effectively, SYNBIO introduced a computer-aided design and manufacturing (CAD/M) platform that transformed the process of engineering cells. However, since inputs from the extracellular matrix (ECM) have largely been ignored, progress towards programmable tissue-level behavior have been more modest. Here, we will build on my experience with computational and experimental models in cardiac tissue engineering to develop a CAD/M framework for engineering cardiac tissues with computationally predictable properties, or designer-ECM. To characterize ECM-cell interactions, we will use traction force and super-resolution microscopy with fluorescence in-situ sequencing. To model multiscale ECM-cell interactions, we will use ordinary differential equations and subcellular element models. Finally, we will leverage ECM parts and human induced pluripotent stem cells to bioprint designer-ECM that recapitulate three phases of heart development: trabeculation, compaction, and maturation. With synthetic matrix biology (SYNBIO.ECM), we will develop a CAD/M-based process and a new class of products for cardiac tissue engineering.","PASQUALINI Francesco",2019,1999375,"University of Pavia","excluded",NA
"ref_071","MAGIC","Architectured Soft Magnetoactive Materials: Beyond Instabilities","Soft magnetoactive materials can change their properties and undergo extremely large deformations when excited by magnetic stimuli. These reconfigurable soft materials hold great potential for a large variety of applications from sensing devices to energy harvesting, noise and vibration mitigation, and soft robotics. However, these materials operate at high magnetic fields, thus, limiting potential application of the technology. A promising approach to significantly enhance the magnetomechanical performance, and reduce the required magnetic field, is to design soft magnetoactive composites through architectured microstructures. Highly ordered microstructures are an origin for multiscale magnetomechanical instabilities and possible failure of the materials. In this research proposal, we directly address this crucial aspect for MAE-based technology. Moreover, we declare an ambitious goal: Turning failure into functionalities. Our strategy is to take the risk of operating MAEs in the unstable regime with predesigned instability developments. This novel MAE design concept will capitalize on controllable cascade microstructure transformations while attempting to avoid catastrophic failure. If successful, this concept will open a new avenue in design of morphing magnetoactive materials with new functionalities and superior performance. To achieve this ambitious goal, we will develop multiscale theoretical and computational frameworks to reveal and to predict the behavior of possible advantageous microstructures in the extreme regimes. If successful, we will fill the gap in magnetomechanical multiscale instability phenomena, and will significantly advance the frontier of knowledge about the reconfigurable soft matter. We will probe our ideas experimentally, and will fabricate the revealed advantageous materials with engineered microstructures and properties. We envision revealing the fundamental multiphysics mechanisms of the multiscale magnetomechanical instabilities.","RUDYKH Stephan",2019,1999085,"University of Trento","excluded",NA
"ref_072","BuBble Gun","Penetrating microjets in soft substrates: towards controlled needle-free injections","The needle-free delivery of liquid jets into soft and heterogeneous substrates, e.g. human tissue, has been hindered by (1) the need to reach specific penetration depths with energy efficient means, (2) the break-up of jets that impedes control over the dose delivery, and (3) liquid splash-back after impacting the substrate that cause cross-contamination between injections. BuBble Gun is aimed at overcoming these challenges. My team and I have recently uncovered new operational regimes of cavitation with continuous-wave lasers. My next goal is to study the energy partition between the creation of bubbles, the formation of liquid jets, and the penetration of these jets into soft substrates. Fundamental insights on energy partitioning will then be applied to achieve major breakthroughs in jet injection, by (1) controlling cavitation within microfluidic confinement, (2) tuning the rheology of jets emerging from confined cavitation, and (3) deriving the relationships between fluid dynamics and material properties governing jet injection into soft substrates. I expect to advance the knowledge at the intersection of microfluidics, physics, and bioengineering, to enable unprecedented control over cavitation, jetting, and injection phenomena. We will develop a portable energy- efficient injection platform by using ultra-high-speed imaging, and quantifying injections with experimental resolutions below the microsecond and micrometer scales. The rheological properties of the jets will be tuned with biocompatible additives to ensure cohesion, before injecting them into in-vitro targets and ex-vivo skin. Numerical models will assist untangling the influence of microfluidic configuration and material properties on the injection outcomes. The ultimate result will be the predictable, reproducible, and efficient injection of liquids that will enable a wide-range of technologies, such as additive manufacturing, coating modifications, the delivery of drugs and vaccinations.","FERNANDEZ RIVAS David",2019,1500000,"University of Twente","excluded",NA
"ref_073","CREATE","Crafting Complex Hybrid Materials for Sustainable Energy Conversion","With an unprecedented rise in solar cell efficiencies and ease of fabrication, hybrid lead halide perovskites (PbHP) have gained worldwide popularity. However, these materials still rely on the use of toxic Pb and lack of long-term stability. Moreover, distracted by a race for higher conversion efficiencies, the development of in-vacuum deposition techniques to reproducibly and controllably grow these hybrid films has been highly overlooked. This is now the main hurdle for the full exploration of Pb-free and stable hybrid halides, which might not be as defect tolerant or easily produced by solution process as PbHP. Therefore, a revolutionary method allowing the discovery of new sustainable complex hybrid materials is now, more than ever, of paramount importance. Here I describe a completely new approach that allows stoichiometric and layer-by-layer in-vacuum deposition of wide families of organic-inorganic materials, and their mixture in any pre-determined ratio. To overcome the specific challenges of hybrid film growth (incompatible volatility and solubility) I propose Pulsed Dual-Laser Deposition (PDLD) to decouple the deposition of the inorganic and organic sources with two distinct laser sources, a high energy (UV) and a low energy (IR), all in one vacuum system. Only this decoupling will allow the control and versatility to bridge the hybrid materials discovery gap and to tackle open scientific questions regarding the interplay between the organic and inorganic components, defect nature and their influence on optical properties, carrier scattering and recombination phenomena. Combining these fundamental insights with controlled growth, will enable the design of a new generation of stable and non-toxic hybrid films. My extensive experience in in-vacuum materials synthesis for solar cells, supported by the unique PLD expertise at the host institution will enable a leap in the discovery and understanding of hybrid materials for solar energy conversion and beyond.","Morales Masis Monica",2019,1750000,"University of Twente","excluded",NA
"ref_074","ENIGMA","EXPLORING NONLINEAR DYNAMICS IN GRAPHENE NANOMECHANICAL SYSTEMS","Micro and nanomechanical systems are being adopted in billions of products, that address a wide range of sensor and actuator applications in modern technology. The advent of graphene, and the ability to fabricate single atom thick membranes, promises further device downscaling, enabling ultimate sensing capabilities that until recently seemed utopical. But, these atomically thin membranes are in essence nonlinear and exhibit nonlinear dynamic behavior at forces of only a few pN, which needs to be understood to harness their full potential. Although the field of nonlinear dynamics dates back several centuries, its implications at the atomic scale have remained relatively unexplored. Thermal fluctuations due to Brownian motion and nanoscale forces become dominant at this scale, and when combined with graphene’s exotic elasticity, give rise to phenomena that are not observed before, and cannot be explained by classical approaches. Our poor understanding of these complex features at the same time, have made characterization of graphene very challenging. An example is its bending modulus that is evaluated orders of magnitude higher than theoretical predications, by the available experimental methods. In this project, I aim at providing full understanding of nonlinearities of these one atom thick membranes, not only to unveil the enigmatic behavior of graphene but also to improve current nanomaterial characterization methods. The distinguishing feature of my methodology is that on the one side, it will be based on atomistic simulations combined with modal order reduction techniques, to predict the complexities at the single atom level. on the other side, experimental nonlinear dynamic data will be analyzed for evaluating nonlinear effects and extracting material properties using nonlinear resonances in the MHz range. My methodology will have the potential to serve as the next generation of characterization techniques for nanomaterial science and nanomechanics communities.","Alijani Farbod",2018,1422598,"Delft University of Technology","excluded",NA
