Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Söderbaum P.","6602133354;","Reconsidering economics in relation to sustainable development and democracy",2019,"Journal of Philosophical Economics: Reflections on Economic and Social Issues","13","1",,"19","38",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090630781&partnerID=40&md5=f7a7cca09930425b7d1198bb05d8c1b6","Mälardalen University, Sweden","Söderbaum, P., Mälardalen University, Sweden","The challenge of sustainable development can be approached from different angles. In this essay it is argued that one also needs to examine the present close to monopoly position of neoclassical economic theory at university departments of economics in many parts of the world. An open debate is needed about paradigms in economics as well as ideological orientations. An alternative to neoclassical theory is outlined where individuals and organizations are regarded as political actors, each guided by an ideological orientation or mission. Reference is made to the 17 UN sustainable development goals suggesting that impacts need to be seen in multidimensional terms and an alternative definition of economics as ""multidimensional management of limited resources in a democratic society"" is proposed. It is argued that economics need to move away from its technocracy-oriented tendencies to democracy-oriented approaches. This is exemplified by a move away from neoclassical Cost-Benefit Analysis (CBA) to Positional Analysis as approach to decision-making and sustainability assessment. © 2019 Rosetti International Publishing House. All rights reserved.","Degrowth; Democracy; Ideological orientation; Institutional economics; Matching process; Mission; Multidimensional; Narrative; Neoclassical economics; Political economic organization; Political economic person; Technocracy",,Article,"Final","",Scopus,2-s2.0-85090630781
"Akbulut B.","55361531600;","The ‘state’ of degrowth: Economic growth and the making of state hegemony in Turkey",2019,"Environment and Planning E: Nature and Space","2","3",,"513","527",,9,"10.1177/2514848619835135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082462439&doi=10.1177%2f2514848619835135&partnerID=40&md5=d42bb533d692607ba7adb0f2f2e53deb","Concordia University, Canada","Akbulut, B., Concordia University, Canada","Critical perspectives on economic growth have laid bare the fragility of the assumed link between material growth and socio-ecological wellbeing. The appeal of economic growth, however, goes beyond the economic sphere. As a societal goal, growth is often mobilized to pre-empt and/or co-opt opposition around issues of social justice and redistribution. Not only does the constitution of growth as a collective goal serve to unite the internally fragmented sphere of the social and brush aside (class-based) distributional conflicts, but it also enables the distribution of material concessions to subordinate classes for eliciting their consent. The degrowth proposal should thus more broadly tackle the material and discoursive ways in which growth enables the reproduction of contemporary political-economic systems. This paper argues that the notion of growth functions as a powerful ideal that shapes state–society relationships and social-collective imaginations. It demonstrates this by discussing the making of state in Turkey through a Gramscian perspective, where the notion of economic growth is deeply imprinted in the broader practices of the state to legitimize its existence and dominates the social imaginary in a way that cannot be easily dismissed. Against this backdrop, the possibility of not only effectuating, but also imagining and desiring degrowth would call for a radical reconfiguration of state–society relationships. Within this context, the Kurdish Freedom Movement’s project of Democratic Economy emerges as an alternative, both to the nation-state paradigm and to the imperative of economic growth. © The Author(s) 2019.","Degrowth; Gramsci; Kurdish Freedom Movement; state; Turkey",,Article,"Final","",Scopus,2-s2.0-85082462439
"Nirmal P., Rocheleau D.","56744699400;6701512970;","Decolonizing degrowth in the post-development convergence: Questions, experiences, and proposals from two Indigenous territories",2019,"Environment and Planning E: Nature and Space","2","3",,"465","492",,35,"10.1177/2514848618819478","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076759272&doi=10.1177%2f2514848618819478&partnerID=40&md5=0fc3dab70bd8424ee77e7253e39de794","Clark University, United States","Nirmal, P., Clark University, United States; Rocheleau, D., Clark University, United States","A growing coalition of degrowth scholar-activist(s) seeks to transform degrowth into an interdisciplinary and international field bridging a rising network of social and environmental justice movements. We offer constructive decolonial and feminist critiques to foster their productive alliances with multiple feminisms, Indigenous, post-development and pluriversal thought and design (Escobar, 2018), and people on the ground. Our suggested pathway of decolonial transition includes re-situating degrowth relative to the global south and to Indigenous and other resistance movements. We see this decolonial degrowth as a profoundly material strategy of recovery, renewal, and resistance (resurgence) through practices of re-rooting and re-commoning. To illustrate what we mean by resurgence we draw from two examples where people are engaged in ongoing struggles to protect their territories from the impacts of rampant growth—Zapatista and allied Indigenous groups in Mexico, and three Adivasi communities in the Attappady region of southern India. They are building economies and ecologies of resurgence and simultaneous resistance to growth by deterritorialization. We argue that a decolonized degrowth must be what the growth paradigm is not, and imagine what does not yet exist: our separate and collective socio-ecological futures of sufficiency and celebration in the multiple worlds of the pluriverse. Together, the two cases demonstrate pathways to autonomy, sufficiency, and resurgence of territories and worlds, through persistence, innovation, and mobilization of traditional and new knowledges. We offer these as teachers for the transition to decolonial degrowth. © The Author(s) 2019.","Decolonial theory; degrowth; food sovereignty; Indigenous resistance; resurgence",,Article,"Final","",Scopus,2-s2.0-85076759272
"Boluk K.A., Cavaliere C.T., Higgins-Desbiolles F.","39961097800;43860999200;14048457900;","A critical framework for interrogating the United Nations Sustainable Development Goals 2030 Agenda in tourism",2019,"Journal of Sustainable Tourism","27","7",,"847","864",,111,"10.1080/09669582.2019.1619748","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066615544&doi=10.1080%2f09669582.2019.1619748&partnerID=40&md5=8fb85243fd8b82c706473fc53b08a6cf","Department of Recreation and Leisure Studies, University of Waterloo, Waterloo, ON, Canada; Hospitality and Tourism Management Studies, Stockton University, Galloway, NJ, United States; School of Management, University of South Australia, Adelaide, Australia","Boluk, K.A., Department of Recreation and Leisure Studies, University of Waterloo, Waterloo, ON, Canada; Cavaliere, C.T., Hospitality and Tourism Management Studies, Stockton University, Galloway, NJ, United States; Higgins-Desbiolles, F., School of Management, University of South Australia, Adelaide, Australia","Research in the area of sustainable tourism continues to grow, however a lack of understanding regarding necessary action inhibits progress. McCloskey’s (2015) critique regarding the failure of the MDGs, as a direct result of a lack of critical consciousness, and understanding of the structural contexts of poverty and under-development, provided the impetus for our work. McCloskey (2015) signals the important role of education in fostering transitions to sustainability. As such, we have applied our critical lens to the 2030 United Nations Sustainable Development Goals. Our paper offers tools for critically thinking through the potential for the SDGs to help shape the tourism industry for more sustainable, equitable, and just futures. We positioned six themes to serve as a conceptual framework for interrogating the SDG agenda in tourism; arising from our considerations of both reformist and radical pathways to sustainable transitions in tourism: critical tourism scholarship, gender in the sustainable development agenda, engaging with Indigenous perspectives and other paradigms, degrowth and the circular economy, governance and planning, and ethical consumption. We address these core themes as essential platforms to critique the SDGs in the context of sustainable tourism development, and highlight the cutting edge research carried out by our contributors in this special issue. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.","circular economy; critical thinking; degrowth; ethical consumption; gender; governance; Indigenous perspectives; Sustainable Development Goals (SDGs)",,Editorial,"Final","",Scopus,2-s2.0-85066615544
"Kaufmann N., Sanders C., Wortmann J.","57208663441;57208666934;57208671727;","Building new foundations: the future of education from a degrowth perspective",2019,"Sustainability Science","14","4",,"931","941",,8,"10.1007/s11625-019-00699-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065503556&doi=10.1007%2fs11625-019-00699-4&partnerID=40&md5=4edd5afbf4dae43682b9e7c0e744f2a0","Konzeptwerk Neue Ökonomie e.V, Klingenstr. 22, Leipzig, 04229, Germany","Kaufmann, N., Konzeptwerk Neue Ökonomie e.V, Klingenstr. 22, Leipzig, 04229, Germany; Sanders, C., Konzeptwerk Neue Ökonomie e.V, Klingenstr. 22, Leipzig, 04229, Germany; Wortmann, J., Konzeptwerk Neue Ökonomie e.V, Klingenstr. 22, Leipzig, 04229, Germany","Considering education in the context of making and unmaking sustainable futures, a growing relevance is attributed to the role of shared beliefs or mental infrastructures which shape the way people perceive crises and solutions. The currently dominant capitalist economic paradigm is seen as one such powerful belief that generates imaginaries which cannot accommodate sustainable futures. At the same time, in educational practice, social movements, and academic discussion, the perspective of degrowth has gained attention as an approach which challenges this paradigm. In this article, we address the role of education in processes of socioecological transformation in the context of degrowth. We do this from a perspective of practice, linking our experiences in non-formal education to academic discussions on education and sustainability. The aim of this article is to contribute to a pedagogy of degrowth as one path within a complex search for ways to imagine and support sustainable futures, which address root causes of the current crises. Analysing these crises as crises of conviviality, resulting from imperial modes of living and producing, we sketch the framework for sustainable futures marked by world relations of interconnectedness and solidarity. Relating a theory of transformative learning to a critical-emancipatory understanding of education, we propose two interlinked aspects for pedagogy of degrowth: creating spaces for reflection and emphasizing the political in educational settings. We discuss our practical experience as learning facilitators in non-formal educational contexts. As a cross-cutting challenge, we will touch upon the role of strengthening psychological resources in education for a degrowth society. © 2019, Springer Japan KK, part of Springer Nature.","Economic paradigm; Imperial modes of living; Politicization of education; Psychological resources; Reflective learning processes; Transformative learning",,Article,"Final","",Scopus,2-s2.0-85065503556
"Geerlof J.","57205643451;","A New Social Contract: Substituting the Neoliberal Public Policy Paradigm with a Participatory Public Policy Paradigm",2019,"World Futures","75","4",,"222","241",,,"10.1080/02604027.2018.1554549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060934728&doi=10.1080%2f02604027.2018.1554549&partnerID=40&md5=472feed3ee120a48c3698b2134005d1d","California Institute of Integral Studies, Nieuwkoop, Netherlands","Geerlof, J., California Institute of Integral Studies, Nieuwkoop, Netherlands","Peter Hall introduced the concept of paradigm shifts into the public policy discourse. His account explains the seismic transition the world experienced in the 1980s. With this neoliberal paradigm the former social contract between the public leadership and the people unraveled and the future of humanity has been put at risk. To steer humanity back in the direction of a sustainable future, the author argues for a participatory public policy paradigm instituted as a reinvention of Rousseau’s social contract theory with tree distinct features that respond to the complexity of life in modern times. © 2019, Copyright © Taylor & Francis Group, LLC.","Degrowth; enlightenment philosophy; equality and sustainability; neoliberal capitalism; public policy paradigm; social contract",,Article,"Final","",Scopus,2-s2.0-85060934728
"Pirgmaier E., Steinberger J.K.","36987096500;25522912400;","Roots, riots, and radical change-A road less travelled for ecological economics",2019,"Sustainability (Switzerland)","11","7","2001","","",,32,"10.3390/su11072001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064046522&doi=10.3390%2fsu11072001&partnerID=40&md5=b675847e69a36fc2b9a22bdff3e45c4d","School of Earth and Environment, University of Leeds, Leeds, LS2 9JT, United Kingdom","Pirgmaier, E., School of Earth and Environment, University of Leeds, Leeds, LS2 9JT, United Kingdom; Steinberger, J.K., School of Earth and Environment, University of Leeds, Leeds, LS2 9JT, United Kingdom","In this paper, we put forward a new research agenda for ecological economics, based on three realisations. We then show how these can be connected through research and used to generate insights with the potential for application in broader, systemic change. The first realisation is that the core ambition of ecological economics, that of addressing the scale of human environmental resource use and associated impacts, often remains an aspirational goal, rather than being applied within research. In understanding intertwined environmental and social challenges, systemic approaches (including system dynamics) should be revitalised to address the full scope of what is possible or desirable. The second realisation is that the focus on biophysical and economic quantification and methods has been at the expense of a comprehensive social understanding of environmental impacts and barriers to change-including the role of power, social class, geographical location, historical change, and achieving human well-being. For instance, by fetishising growth as the core problem, attention is diverted away from underlying social drivers-monetary gains as profits, rent, or interest fuelled by capitalist competition and, ultimately, unequal power relations. The third realisation is that ecological economics situates itself with respect to mainstream (neoclassical) economics, but simultaneously adopts some of its mandate and blind spots, even in its more progressive camps. Pragmatic attempts to adopt mainstream concepts and tools often comfort, rather than challenge, the reproduction of the very power relations that stand in the way of sustainability transitions. We consider these three realisations as impediments for developing ecological economics as an emancipatory critical research paradigm and political project. We will not focus on or detail the failings of ecological economics, but state what we believe they are and reformulate them as research priorities. By describing and bringing these three elements together, we are able to outline an ambitious research agenda for ecological economics, one capable of catalysing real social change. © 2019 by the authors.","Capital; Degrowth; Marxian political economy; Neoclassical economics; Planetary boundaries; Systems of provision; Systems perspectives; Value; Well-being","boundary layer; capital; ecological economics; historical geography; Marxism; neoclassical theory; political discourse; power relations; resource use; social status; sustainability",Article,"Final","",Scopus,2-s2.0-85064046522
"Crownshaw T., Morgan C., Adams A., Sers M., Britto dos Santos N., Damiano A., Gilbert L., Yahya Haage G., Horen Greenford D.","57205270657;57194088316;57194241706;57201980708;57195513284;57205271506;57204950923;57205271416;57205271500;","Over the horizon: Exploring the conditions of a post-growth world",2019,"Anthropocene Review","6","1-2",,"117","141",,5,"10.1177/2053019618820350","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059341224&doi=10.1177%2f2053019618820350&partnerID=40&md5=2a2e2a2ecb3632563ab7ac2ea05752ac","Economics for the Anthropocene (E4A), Canada; Department of Natural Resource Sciences, McGill University, Canada; Food Systems Graduate Program, University of Vermont, United States; Rubenstein School of the Environment, University of Vermont, United States; Faculty of Environmental Studies, York University, Canada; Department of Geography, Planning and Environment, Concordia University, Canada","Crownshaw, T., Economics for the Anthropocene (E4A), Canada, Department of Natural Resource Sciences, McGill University, Canada; Morgan, C., Economics for the Anthropocene (E4A), Canada, Food Systems Graduate Program, University of Vermont, United States; Adams, A., Economics for the Anthropocene (E4A), Canada, Rubenstein School of the Environment, University of Vermont, United States; Sers, M., Economics for the Anthropocene (E4A), Canada, Faculty of Environmental Studies, York University, Canada; Britto dos Santos, N., Economics for the Anthropocene (E4A), Canada, Faculty of Environmental Studies, York University, Canada; Damiano, A., Economics for the Anthropocene (E4A), Canada, Department of Natural Resource Sciences, McGill University, Canada; Gilbert, L., Economics for the Anthropocene (E4A), Canada, Department of Natural Resource Sciences, McGill University, Canada; Yahya Haage, G., Economics for the Anthropocene (E4A), Canada, Department of Natural Resource Sciences, McGill University, Canada; Horen Greenford, D., Economics for the Anthropocene (E4A), Canada, Department of Geography, Planning and Environment, Concordia University, Canada","Maintaining steady growth remains the central goal of economic policy in most nations. However, as evidenced by the advent of the Anthropocene, the global economy has expanded to a point where limits to growth are appearing. Facing the end of growth requires a careful re-examination of plausible future conditions. We draw on a diverse literature to present an interdisciplinary exploration of post-growth conditions in the areas of climate change, ecological impacts, governance, and education, finding that such conditions may invalidate many prevalent assumptions regarding the future. The post-growth world, while subject to significant uncertainty and heterogeneity, will be characterized by profound hazards and discontinuities for both human and natural systems. Furthermore, we argue that an economic paradigm change will be predicated on an involuntary and unplanned cessation of growth. This implies a necessary strategic expansion of the heterodox economic discourse to formulate appropriate responses in view of likely post-growth realities. © The Author(s) 2018.","Anthropocene; degrowth; heterodox economics; limits to growth; post-growth conditions; sustainable societies",,Review,"Final","",Scopus,2-s2.0-85059341224
"Terblanché-Greeff A.C.","57205324352;","Ubuntu and Environmental Ethics: The West Can Learn from Africa When Faced with Climate Change",2019,"International Library of Environmental, Agricultural and Food Ethics","29",,,"93","109",,2,"10.1007/978-3-030-18807-8_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101505568&doi=10.1007%2f978-3-030-18807-8_7&partnerID=40&md5=e9787399e7dcbbc27acc5b057c520d5b","University of Johannesburg, Auckland Park, Johannesburg, South Africa","Terblanché-Greeff, A.C., University of Johannesburg, Auckland Park, Johannesburg, South Africa","The human race is experiencing climate change and the catastrophic ripple effects, e.g. increased levels of droughts, flooding, food insecurity, etc. It is cardinal that humankind adopts post-haste collective behavior to mitigate climatic changes. Interestingly, although Africa contributes less greenhouse gas emissions (that lead to climate change) than more developed continents, it is one of the most vulnerable continents when faced with climate change. International stakeholders are motivated to implement climate change adaptation strategies, e.g. sustainable development and the introduction of genetically modified crops in Africa’s agricultural sector, to lower the continent’s vulnerability. However, when developing and implementing adaptation strategies, cognizance must be allocated to the unique cultural values of various stakeholders. This is often not the case as cultural value systems of communities are neglected in these processes, e.g. the African values system of Ubuntu (which focuses on relationality). It is imperative to investigate and compare individualistic-capitalistic Western values (with its focus on sustainable development and economic growth) and the values of Ubuntu as it pertains to environmental ethics. Both value systems attribute different significance to relationality between humans, non-humans, and the natural environment. From this, I argue that the individualistic-capitalistic West has much to learn from Africa’s Ubuntu and the ensuing potential for climate change adaptation. Subsequently, a call for a universal paradigm shift will be made, away from the economic and development foci of individualistic-capitalistic values, towards Ubuntu degrowth which prioritizes communitarianism, and the principle of sufficiency. I suggest that relevant and diverse stakeholders meet around the “global roundtable” to consider and discuss different perspectives and cultural values when developing climate change adaptation strategies on a global level. © 2019, Springer Nature Switzerland AG.",,,Book Chapter,"Final","",Scopus,2-s2.0-85101505568
"Ruder S.-L., Sanniti S.R.","57203648775;57210193043;","Transcending the learned ignorance of predatory ontologies: A research Agenda for an ecofeminist-informed ecological economics",2019,"Sustainability (Switzerland)","11","5","1479","","",,10,"10.3390/SU11051479","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069838500&doi=10.3390%2fSU11051479&partnerID=40&md5=1ba5472ada895e55d37fcda6f1512bff","School of Environment, Resources and Sustainability University of Waterloo, Waterloo, ON  N2L 3G1, Canada","Ruder, S.-L., School of Environment, Resources and Sustainability University of Waterloo, Waterloo, ON  N2L 3G1, Canada; Sanniti, S.R., School of Environment, Resources and Sustainability University of Waterloo, Waterloo, ON  N2L 3G1, Canada","As a necessarily political act, the theorizing, debating and enacting of ecological economies offer pathways to radical socio-economic transformations that emphasize the ecological and prioritize justice. In response to a research agenda call for ecological economics, we propose and employ an ecofeminist frame to demonstrate how the logics of extractivist capitalism, which justify gender biased and anti-ecological power structures inherent in the growth paradigm, also directly inform the theoretical basis of ecological economics and its subsequent post-growth proposals. We offer pathways to reconcile these epistemological limitations through a synthesis of ecofeminist ethics and distributive justice imperatives, proposing leading questions to further the field. © 2019 by the authors.","Capitalist-patriarchy; Complexity; Ecofeminism; Ecological economics; Gender; Intersectionality; Post-growth; Systems thinking; Transformational change","capitalism; ecological economics; economic growth; gender; socioeconomic conditions",Article,"Final","",Scopus,2-s2.0-85069838500
"Snyder B.F.","25926751700;","Christian environmental ethics and economic stasis",2019,"Worldviews: Environment, Culture, Religion","23","2",,"154","170",,,"10.1163/15685357-02302002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065399080&doi=10.1163%2f15685357-02302002&partnerID=40&md5=f030a5dd9fff7b598b28fc4ce53649ca","Louisiana State UniversityLA, United States","Snyder, B.F., Louisiana State UniversityLA, United States","The growth paradigm assumes that economic growth is objectively good because it leads to increased prosperity and utility maximization. Christian ethics oppose this worldview because it rejects the idea that economic prosperity is objectively good. Instead, Christian ethics are theocentric, assuming that God and the relationship with the divine is objectively good. Material prosperity is seen to interfere with this relationship. Still, there are at least two views of the human-divine relationship that have implications for environmental ethics. The first and most popular view argues that the human-divine relationship is mediated by the human-in-community relationship. Alternatively, individualistic theism posits that the human-divine relationship is individually available without community-centeredness. This individualistic view has been criticized as leading to an insufficient ethic of environmental care, however, here we argue that a radical dualism consistent with the Christian Gospels can lead to an ethos of environmental benevolence. © Copyright 2019 by Koninklijke Brill NV, Leiden, The Netherlands.","Christianity; Degrowth; Dualism; Steady-state economics",,Review,"Final","",Scopus,2-s2.0-85065399080
"Antal M.","26436420000;","Post-growth strategies can be more feasible than techno-fixes: Focus on working time",2018,"Anthropocene Review","5","3",,"230","236",,8,"10.1177/2053019618794212","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053387311&doi=10.1177%2f2053019618794212&partnerID=40&md5=c603102a33798121addb4906d34b8a8f","University of Leeds, United Kingdom; Austrian Institute of Economic Research (WIFO), Austria","Antal, M., University of Leeds, United Kingdom, Austrian Institute of Economic Research (WIFO), Austria","For sufficiently fast climate change mitigation, strategies once considered unthinkable have to be discussed. As negative-emission technologies and solar geoengineering are risky, social and economic innovations are needed as well. Working time reduction is a completely neglected strategy that needs urgent attention in climate–economy models and policy. © The Author(s) 2018.","climate change mitigation; climate economics; economic growth; economic paradigm; productivity growth; sustainability; win-win strategy; working time",,Article,"Final","",Scopus,2-s2.0-85053387311
"Aseeva A.","57070421300;","(Un)sustainable development(s) in international economic law: A quest for sustainability",2018,"Sustainability (Switzerland)","10","11","4022","","",,9,"10.3390/su10114022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055908912&doi=10.3390%2fsu10114022&partnerID=40&md5=75014dc2fc6b5b17a9d60f64eaf79819","Faculty of Law, School of General and Interdisciplinary Legal Studies, National Research University Higher School of Economics, 3 Bolshoi Trexsviatitelskiy Str., Moscow, 109240, Russian Federation","Aseeva, A., Faculty of Law, School of General and Interdisciplinary Legal Studies, National Research University Higher School of Economics, 3 Bolshoi Trexsviatitelskiy Str., Moscow, 109240, Russian Federation","This article aims to contribute to the ongoing debate on post-capitalist economy by exploring the contours of a sustainability-oriented model of economic governance. To this end, the article analyzes the issues of sustainable development in the three main strands of international economic law (trade, investment, and finance) at national and transnational levels. The analysis reveals a policy interdependence between international economic law and sustainable development. The latter hence represents a specific regulatory construct that aims at compensating the losses of exhaustible resources with investments in technology and knowledge. This, however, merely justifies and legitimizes the over-exploitation of certain parts of the globe, including not only their natural resources, but also human and other capitals. To overcome these unsustainable models, the article proposes a paradigm shift away from the standard of sustainable development in international economic law, towards one of sustainability. The idea is to replace sustainable development with sustainable economy. Law can act as a trigger of such a shift through ensuring trust and cooperation between public institutions, private companies, civil society, local communities, and individual citizens. © 2018 by the authors.","Degrowth; Low-carbon sharing economy; Progressive sustainability agenda; Social justice; Sustainability law","compensation system; economic analysis; economic growth; economic policy; governance approach; international law; investment; natural resource; paradigm shift; regulatory approach; social justice; sustainability; sustainable development",Article,"Final","",Scopus,2-s2.0-85055908912
"Strunz S., Schindler H.","54882074900;56581395200;","Identifying Barriers Toward a Post-growth Economy – A Political Economy View",2018,"Ecological Economics","153",,,"68","77",,12,"10.1016/j.ecolecon.2018.06.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049656421&doi=10.1016%2fj.ecolecon.2018.06.017&partnerID=40&md5=a047c60b2e54936c0306b7f0a2e1c830","Helmholtz Centre for Environmental Research—UFZ, Permoser Str. 15, Leipzig, 04318, Germany","Strunz, S., Helmholtz Centre for Environmental Research—UFZ, Permoser Str. 15, Leipzig, 04318, Germany; Schindler, H., Helmholtz Centre for Environmental Research—UFZ, Permoser Str. 15, Leipzig, 04318, Germany","In this paper, we take a political economy perspective on barriers that inhibit a transition beyond the growth-paradigm – that is, we frame transition barriers as looming conflicts of interest. Specifically, we investigate potential transition barriers within three case studies. First, unemployment represents the most commonly cited reason why economic growth is considered indispensable. Second, alternative indicators to Gross Domestic Product (GDP) have not succeeded in replacing GDP as a standard metric of economic welfare. Third, pension schemes rely on economic growth to offset demographic change. In each of these three examples, we identify actor-interest constellations that foster the status quo of a growth economy. We conclude that compensating some of those actors who would presumably be worse off in a post-growth economy may be necessary – though not sufficient – for a transition. © 2018 Elsevier B.V.",,"demography; economic growth; Gross Domestic Product; identification method; market transition; pension system; political economy; unemployment",Article,"Final","",Scopus,2-s2.0-85049656421
"Ramírez-Cendrero J.M.","55781985300;","Limits and Contradictions of Post-developmentalism as a Heterodox Approach to Capitalist Development",2018,"Capitalism, Nature, Socialism","29","4",,"68","87",,6,"10.1080/10455752.2017.1334220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020062605&doi=10.1080%2f10455752.2017.1334220&partnerID=40&md5=cb19ffe63b05f48ec265a7f47623c720","Facultad de Ciencias Economicas y Empresariales, Universidad Complutense de Madrid, Madrid, Spain","Ramírez-Cendrero, J.M., Facultad de Ciencias Economicas y Empresariales, Universidad Complutense de Madrid, Madrid, Spain","In recent years, debates around development have seen the growing prominence of post-developmentalist proposals, which are driving the anti-capitalist discourse and at the same time serving as a springboard for non-capitalist development proposals. However, the search for an alternative approach to development can disrupt the construction of viable action strategies and dilute important elements of the contributions advanced by the heterodox tradition, mainly Marxist. The aim of this paper is to systematize the limitations of post-developmentalism and articulate a heterodox paradigm that can be measured in tandem with conventional and hegemonic approaches in development studies, such as approaches stressing human development. © 2017, © 2017 The Center for Political Ecology.","capitalism; degrowth; development theory; Post-developmentalism","capitalism; development discourse; development theory; hegemony; Marxism",Article,"Final","",Scopus,2-s2.0-85020062605
"Muraca B., Neuber F.","55042971700;57194327289;","Viable and convivial technologies: Considerations on Climate Engineering from a degrowth perspective",2018,"Journal of Cleaner Production","197",,,"1810","1822",,20,"10.1016/j.jclepro.2017.04.159","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019736994&doi=10.1016%2fj.jclepro.2017.04.159&partnerID=40&md5=8e6d49b798791f998b239ce93330d00e","Oregon State University, United States; Karlsruhe Institute of Technology, Germany","Muraca, B., Oregon State University, United States; Neuber, F., Karlsruhe Institute of Technology, Germany","Faced with the urgency of climate change, Climate Engineering has been framed as a fast and feasible technological solution. At the same time, however, critique against it is getting increasingly louder. This paper articulates a critical analysis of Climate Engineering technologies from a point of view situated within the degrowth discourse. In the first part two approaches discussed within the degrowth debate are presented: the concept of viability based on a biophysical perspective and the concept of conviviality based on a socio-cultural approach. In a second step formalized arguments from the point of view of applied ethics are articulated and applied to three Climate Engineering Technologies: Sulfate Aerosol Injection, Bio-energy with Carbon Capture and Storage, and Afforestation. In a third step, an extended version of the trade-off argument about mitigation versus Climate Engineering solution is discussed from a degrowth perspective: accordingly, within the current dominant growth paradigm, climate engineering technologies might lead to reduced mitigation efforts. The paper follows the argumentative turn in applied ethics and displays a formalization of arguments that can help clarify decision-making and identify the different dimensions at stake. The paper articulates arguments against the deployment of CE technologies and advances a new version of the trade-off-argument based on a degrowth perspective. From the point of view of a degrowth-based critique of technology, the only type of Climate Engineering Technology ethically acceptable would be afforestation under specific conditions. © 2017 Elsevier Ltd","Argumentative turn; Climate Engineering; Conviviality; Degrowth; Viable technologies","Carbon capture; Decision making; Economic and social effects; Philosophical aspects; Reforestation; Sulfur compounds; Conviviality; Critical analysis; Degrowth; Engineering solutions; Extended versions; Socio-cultural; Sulfate aerosols; Technological solution; Climate change",Article,"Final","",Scopus,2-s2.0-85019736994
"Metze T.","15046944900;","Framing the future of fracking: Discursive lock-in or energy degrowth in the Netherlands?",2018,"Journal of Cleaner Production","197",,,"1737","1745",,19,"10.1016/j.jclepro.2017.04.158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019571095&doi=10.1016%2fj.jclepro.2017.04.158&partnerID=40&md5=78389cd3b7965447175c640d56f6a1c7","Wageningen University and Research, Netherlands","Metze, T., Wageningen University and Research, Netherlands","Hydraulic fracturing is a technology developed to improve and increase the production of natural gas. In many countries, including the Netherlands, it has caused environmental controversies. In these controversies, ‘futurity framing’ may open up debates for alternative paradigms such as ‘degrowth,’ which is the pursuing of collective and deliberative, downscaled production of (natural) resources and less consumption for convivial living. Based on a frame analysis, it is demonstrated that opponents and proponents of fracking have envisaged pessimistic energy futures either to promote or devaluate fracking technology. In addition, the results show that dominant technological enthusiasm has enabled the introduction of ‘degrowth technology,’ which are downscaled, decentralized and renewable energy technologies. Degrowth-technology framing may provide a means of access for more radical degrowth thinking in the energy debates. This empirical finding also indicates that the degrowth paradigm could include controversies as entry points for creating support for degrowth thinking. © 2017 Elsevier Ltd","Degrowth; Framing; Hydraulic fracturing; Shale gas; Socio-technological futures; Technology","Renewable energy resources; Shale; Shale gas; Degrowth; Empirical findings; Energy future; Frame analysis; Framing; Netherlands; Renewable energy technologies; Socio-technological futures; Hydraulic fracturing",Article,"Final","",Scopus,2-s2.0-85019571095
