Project acronym,title,abstract
EMPOCI,"Governing sustainable energy-mobility transitions: multi-level policy mixes, transformative capacities and low-carbon innovations","In its recent 1.5°C report the IPCC stressed that global efforts to promote low-carbon transitions need to be accelerated to meet the Paris Agreement. This raises a number of questions for the emerging field of policy mixes for sustainability transitions, such as on the role of actors and multi-level governance in politically contested socio-technical transition processes. In this project, I aim to address these knowledge gaps by asking how low-carbon transitions in the increasingly interconnected energy and mobility systems as major contributors to greenhouse gas emissions can be accelerated. EMPOCI has three objectives: Objective 1: To provide a novel conceptual and empirical understanding of the global interplay between multi-level policy mixes and low-carbon innovations in socio-technical transitions which foregrounds the role of actors and transformative capacity. -> By bridging the innovation and policy studies literatures and comparatively analyzing the increasingly interconnected electricity-mobility-ICT systems in four key countries, EMPOCI will advance the research frontier on transformative policy mixes for low-carbon transitions. Objective 2: To develop and test widely applicable novel methodological tools enabling both deep and broad insights into the drivers and barriers in unfolding multi-sectoral transition processes towards sustainability. -> Drawing on a multi-method research design EMPOCI will provide novel standards for assessing policy, agency and innovation dynamics in politically contested low-carbon transition processes (e.g. survey, big data). Objective 3: To co-design practically relevant multi-actor strategies for accelerating sustainable energy-mobility transitions, thereby supporting the Paris Agreement in combating climate change. -> Based on EMPOCI's findings a transformative foresight process is organized with stakeholders from business, policy, academia and society to jointly derive implications for transformative policy mixes."
MOBI,Modern Bigness : Challenges for European Competition Law,"The influence of large tech-companies in society is undeniable. The emergence and development of the digital economy marks a paradigm-shift towards a more connected and fluid ‘platform society’. New challenges stem from rapid technological developments, the combination of economic and digital power, and arise from a combination of unprecedented data-collection and the indispensability of pivotal platforms for both market-participants and citizens. This impacts both markets and democracy. Even though the challenges are urgent, law struggles to find answers. This is true also for European competition law, which aims to combat the negative effects of market power. However, as is hypothesized here, powerful tech-companies give rise to a new type of power: ‘Modern Bigness’. It impacts both market values and non-market values, such as freedom and democracy. The MOBI project investigates whether European competition law can and should tackle the challenges of Modern Bigness, arising from the digital economy. It will first develop an original theory of ‘Modern Bigness’. A case study on hypernudging digital platform-users and autonomy, and a case study on access to platforms by using the essential facilities-doctrine or public utility theory will highlight the entwinedness of market and non-market impacts, while a third study evaluates whether the power of Modern Bigness itself could be under threat by the disruptive impact of blockchain-technology. The overarching research question is answered by considering the response to the question whether European competition should tackle the multifaceted challenges of Modern Bigness within a normative framework building upon European constitutional theory and the nascent field of technology regulation. The project fundamentally reconsiders the nature and boundaries of European competition law in relation to digital developments. Ultimately, it is driven by the desire to protect fundamental societal, market and non-market values."
POAB,The Psychology of Administrative Burden,"The burdens of dealing with administrative rules and red tape in government are a fact of life around the world, ranging from small hassles to heavy burdens in the form of stigmatizing processes of proving eligibility and facing potential sanctions. In light of the immense importance of such burdens for millions of people and for the effectiveness of benefit programs, we know surprisingly little about the conditions that give rise to experiences of burden. POAB combines and extends extant theory and uses a unique combination of experimental methods and data to explain how, why, and for whom administrative rules are experienced as burdensome. POAB studies comprehensive rules regarding unemployment and social benefits and will provide novel register, physiological, and survey measures of welfare benefit recipients’ experiences of burden. I develop and test three theories to explain differences in experiences of burden: 1) How resource scarcity causes cognitive load and hence reduces the ability to cope with rules. 2) How self-efficacy increases the ability to cope with rules. and 3) How perceptions of being undeserving cause stigma and stress. POAB analyses the causal impact of rules on burden. To this end, I use a unique combination of complementary experimental methods in political science: 1) Cross-national lab experiments with physiological measurement and manipulations of rules, scarcity, efficacy and deservingness perceptions. 2) Cross-national survey experiments to assess different aspects of rules in different contexts. 3) Quasi- and field experiments to assess the impact of rules on register measures of burdens in a real-world context. POAB offers a fundamentally new interdisciplinary approach by bridging the gap between research on administrative burdens and psychological perspectives. The project’s output will provide profound knowledge of citizens’ experiences of burden and the inequalities in such experiences among recipients of major welfare benefits."
RIVERS,"Water/human rights beyond the human? Indigenous water ontologies, plurilegal encounters and interlegal translation","RIVERS’s main challenge is to produce ground-breaking knowledge, from an empirical, interdisciplinary and dialoguing perspective, about the contentions and challenges intrinsic to reconceptualising human rights with different ways of understanding and relating to water. Worldwide, indigenous peoples are mobilising against the neoliberalisation of nature, demonstrating radically different ways of knowing, being and living. At the same time, in 2010 the UN acknowledged water as a human right, while in 2017 New Zealand, India and Colombia established ground-breaking legal precedents by granting rivers human rights. RIVERS’s overarching research question is: To what extent can international human rights law come to grips with plurilegal water realities? This project engages with one of the most pressing questions of this century: the relationship between humans and nature. RIVERS tackles two intertwined core objectives: 1) analysing different ways of knowing and relating to water and life among indigenous peoples and their understanding of its (potential) violation by extractive projects. 2) discussing the contributions, challenges and pitfalls of interlegal translation of differing water natures in plurilegal encounters at domestic and international levels. RIVERS will develop a multi-sited analysis and empirical case-studies in three contexts: Colombia, Nepal and the UN human rights protection system. Through the lens of legal pluralism, this will foreground competing political and legal water realities that interrogate dominant understandings of the modern world. RIVERS will address two interrelated research challenges: 1) indigenous visions/practices: beyond water as a natural resource and human right. 2) the UN human rights system: towards counter-hegemonic water knowledge production. This project will pioneer new ways of thinking about water beyond the modern divides of nature/culture, providing clues about future paths towards reconceptualising human rights."
TRANSJIHAD,Explaining Transnational Jihad - Patterns of Escalation and Containment,"TRANSJIHAD aims at advancing our understanding of one of the greatest contemporary challenges on the international agenda for peace and security, namely the ability of transnational jihadist movements to tap into local conflicts, hence escalating violence. TRANSJIHAD specifically investigates the questions of how jihadist conflicts become transnational and under what circumstances they can be contained. The project also aims at developing an interdisciplinary analytical framework, which combines micro- and macro level approaches to jihadism, drawing from both Religious Studies, Security Studies and Peace & Conflict Studies. Methodologically, TRANSJIHAD dissolves the scientific dichotomy between inside- and outside-oriented approaches to the study of transnational jihadist conflicts, widening prevailing scientific understandings of transnationalization processes. The project uniquely combines i) a quantitative examination of transnationalization processes drawing from the Religion and Armed Conflicts (RELAC) dataset based at Uppsala University, ii) comparative case studies of the mechanisms of escalation and de-escalation of jihadist conflicts across Asia, the Middle East, the Arab Peninsula and Africa focusing on the movements of Islamic State, Al-Qaeda, the Taleban, and Boko Haram, iii) securitization analyses of the macro-level conflict structures that transnational jihadist movements tap into, and finally iv) sociotheological worldview analyses of potential changes in jihadist conflict imagery during transnationalization processes. With its focus on macro-level conflict structures, TRANSJIHAD also contributes to developing a new framework for thinking about containment, providing an alternative to both the micro-level countering discourses embraced by much of the radicalization research, and the containment thinking that stems from the treatment of jihadist conflicts as civil wars in the peace and conflict literature."
CriticalMaaS,"Concepts, theories and models for planning , operating and evaluating the dynamics of Mobility as a Service","Online marketplaces enable in the travel context the dynamic matching of supply and demand. The shared economy can revolutionize urban mobility by blurring the traditional division between private and public transport, shifting from an ownership model to Mobility as a Service (MaaS). Existing transport models are designed with the premise that transport consists of either fully scheduled and controlled fleets or individual privately owned vehicles. Since MaaS breaks the conventional division between individual (ownership) and collective (usage) travel alternatives, existing theories and models of travel behaviour, transport network and operations cannot explain the behavioural dynamics, interactions and evolution of both supply-side and demand-side of the marketplace. This research program develops and tests theories and models of transport network in the domain of two-sided mobility market. CriticalMaaS will produce a set of new behavioural models of traveller and supplier choices in transport marketplace settings. The supply- and demand-side dynamics and their interactions will be mathematically formalized and developed in both network flow distribution and agent-based modelling frameworks designed for the analysis of their co-evolution. Models will be used to study emerging patterns, transition phases and critical mass concepts by testing the conditions required for generating economies of scale in market adoption and evolution of MaaS. Models will be estimated and validated using a series of surveys, choice experiments, laboratory experiments, observed behavioural data from on-demand services, focus groups and interviews. The proposed research efforts will result with several theoretical and methodological breakthroughs in the field of transport modelling. In addition, the research program will make methodological and empirical contributions to the field of travel behaviour as well as insights into the dynamics of a two-sided (mobility) marketplace."
WEIRD WITNESSES,Beyond WEIRD Witnesses: Eyewitness Memory in Cross-Cultural Contexts,"Our increasingly international society demands that eyewitnesses of serious crimes regularly provide testimony in cross-cultural settings, such as international criminal tribunals. This poses significant challenges for investigators and legal decision-makers. Errors in fact-finding may result in wrongful convictions and unjust acquittals. Yet, eyewitness memory research has predominantly focused on Western, Educated, Industrialized, Rich, and Democratic (WEIRD) witnesses. The project addresses two key objectives: (1) develop culturally modulated theory of eyewitness memory and (2) design and test evidence-based interview guidelines. In Subproject 1, I will examine what happens when police investigators interview eyewitnesses from a different cultural background. It will involve the systematic coding of culture-dependent variables in video-recorded police interviews with witnesses of serious crimes in South Africa, a society with many different subcultures. In Subproject 2, I will analyse the frequency, nature and legal consequences of culture-dependent variables in international criminal cases. It will involve an empirical document analysis of eyewitness evidence provided at the International Criminal Tribunal for Rwanda, and interviews with international legal scholars and practitioners. In Subproject 3, I will assess how different cultural groups encode, store and retrieve memories, and how memory reports are evaluated in immigration contexts. It will involve a series of experiments in which the objective and perceived characteristics of statements provided by asylum seekers originating from Sub-Saharan Africa are compared to a matched Western control group. The project integrates analyses of video, document and experimental data to provide insight into culture-dependent variables in eyewitness memory. The new theory will enable researchers and practitioners to steer away from the present WEIRD bias in legal psychology."
VictPart,Righting Victim Participation in Transitional Justice,"The question of how to serve justice, facilitate peaceful transitions and empower victims of past large-scale abuses is about as old as the field of transitional justice (TJ) itself. Increasingly, academics and practitioners are turning to participatory approaches as a promising way to make advances regarding these issues. An oft-cited benefit of victim participation in TJ processes is that it allegedly increases the legitimacy of these processes by rendering them more locally relevant, and that it empowers participants. However, little is known about how to organize this participation in practice or under which conditions alleged benefits (for individual victims-participants or for society at large) are likely to materialize. As a result, participation is often organized in an 'add-victims-and-stir' way, with little critical reflection about potential unforeseen or long-term effects. Because TJ processes often face significant practical, financial and political constraints, it is crucial to better understand how participatory approaches can be developed in ways that contribute to a positive and lasting legacy. The main objective of this project is therefore threefold, (1) to conduct a systematic analysis of the scope, nature, modalities and role of victim participation in transitional justice processes, (2) to study empirically and comparatively how participation shapes victims' experience and understandings of justice and their rights, and (3) to develop a critical victimology framework and establish how this framework can be used to conceptualize victim participation in ways that contribute to TJ's goal of engendering just, stable and secure societies. A multi-disciplinary approach, rooted in legal studies, social psychology, political science, public administration and anthropology is proposed, which allows for a multi-dimensional understanding of these issues, both in academic and in practical terms."
NestIOr,Who gets to live forever? Toward an Institutional Theory on the Decline and Death of International Organisations,"Many international organisations (IOs) are under significant pressure. The World Health Organization was heavily criticized over its handling of the Ebola outbreak. The United States has not contributed to the UNESCO budget since 2011 and plans to quit in 2018. The United Kingdom is negotiating its exit from the EU and Burundi left the International Criminal Court. The ultimate way for states to show their discontent is to disband IOs: no less than a third of the IOs, created between 1905 and 2005, has formally ceased to exist. While academics have analysed how IOs are designed and develop, we know virtually nothing about decline and death. This project addresses therefore the question why do IOs decline or die? The key innovation is to complete the theory on the 'life and death of IOs'. The main hypothesis is that some IOs, due to their specific institutional characteristics, are better at longevity than other IOs. Flexible IOs are more likely to live longer, because they can adjust and be more responsive to external pressures, such as wars, reduced trade volumes or political turnover in the member states. Larger IOs are also more likely to live longer, as it will be more difficult for states to replace them with other IOs. They may also be in a better position to fight off external pressures, including from the membership. This project uses a mixed methods approach. Through an innovative survival analysis, it analyses the effect of institutional characteristics on the likelihood that IOs decline or die as a result of external pressures. This requires the compilation of a new dataset. The quantitative analysis is complemented with fine-grained case studies of IOs at risk of declining and dying across different policy areas. These case studies are informed by unique data resulting from interviews."
LORAX,The Lorax Project: Understanding Ecosystemic Politics,"The Lorax project is a comparative effort to expand our understanding of global political architecture through the consideration of a potential set of ‘missing cases’, namely supranational policy fields organized around regional ecosystems. The project explores this question: Do regional politics around national border-crossing ecosystems share important resemblances and differ in significant ways from global politics? To address this question, the Lorax project analyzes the networks of actors, hierarchies between actors and diplomatic norms of the governance fields that have grown up around efforts to ‘speak for’ border-crossing ecosystems in three locations – the Arctic Ocean, the Amazon Basin, and the Caspian Sea. ‘Ecosystemic politics’ is meant to indicate regional-level political efforts justified by the shared management or discussion of collectively acknowledged ‘border-crossing’ ecosystems. Frequently, the political cooperation may be on issues that would be seen as environmental or regulatory politics relating to the ecosystem itself, but ecosystemic politics is not, by definition, limited to such questions of environmental politics. Rather, the word ‘ecosystemic’ gives the Lorax team a sense of where to look without presupposing the interests and issues that engaged actors may bring to those regional interactions. The project aims to generate new insights about the architecture and dynamics of global governance by rigorously researching and then comparing three cases of policy fields around national border-crossing ecosystems. The team will consist of the PI, a postdoc, a PhD and additional senior researcher capacity as needed. An ambitious, but achievable, publication plan (9 articles, 1 book) is mapped out to ensure rigorous finalization of results and dissemination to social science fields engaged with supranational governance questions."
COSMOLOCALISM,"Design Global, Manufacture Local: Assessing the Practices, Innovation, and Sustainability Potential of an Emerging Mode of Production","COSMOLOCALISM will document, analyse, test, evaluate, and create awareness about an emerging mode of production, based on the confluence of the digital commons (e.g. open knowledge and design) with local manufacturing and automation technologies (from 3D printing and CNC machines to low-tech tools and crafts). This convergence could catalyse the transition to new inclusive and circular productive models, such as the “design global, manufacture local” (DGML) model. DGML describes the processes through which design is developed as a global digital commons, whereas the manufacturing takes place locally, through shared infrastructures and with local biophysical conditions in mind. DGML seems to form economies of scope that promote sustainability and open innovation while celebrating new ways of cooperation. However, such claims rest on thin conceptual and empirical foundations. COSMOLOCALISM is a multiphase, pilot-driven investigation of the DGML phenomenon that seeks to understand relevant organisational models, their evolution, and their broader political economy/ecology and policy implications. Through the lens of diverse case studies and participatory action research, the conditions under which the DGML model thrives will be explored. COSMOLOCALISM has three concurrent streams: practices. innovation. and sustainability. First, DGML practices will be studied, patterns will be recognised and their form, function, cultural values, and governance structure will be determined. Second, the relevant open innovation ecosystems and their potential to reorient design and manufacturing practices will be examined. Third, selected DGML products will be evaluated from an environmental sustainability perspective, involving both qualitative and quantitative methods. The interdisciplinary nature of COSMOLOCALISM will explore new horizons to substantively improve our understanding of how we could do “more” and “better” with less."
LINKS,Kick-starting global cLimate Investments: uncovering hidden liNks in climate finance and exploring dynamic evolution of investment networKs for policy deSign,"LINKS aims to contribute to a transformation of the climate finance system to deliver the scale and quality of investment needed to meet the Paris climate goals and ensure effective capital allocation. By understanding the architecture of the financial system, exploring macro patterns in low-carbon investment emerging from observed investors’ behaviour and interactions, and designing cross-cutting policies aligned with long-term climate targets, LINKS will promote essential guidance for a re-orientation of financial flows towards low-carbon and energy efficiency investments. LINKS aims to advance the understanding of the role of climate finance to foster the low-carbon transition by using network theory, advanced computational techniques and extensive empirical data to model the financial system as a complex adaptive system. LINKS will thus lay the foundations of, and pioneer a new field, namely climate finance networks, where dynamics of interconnected investors represented as a network, results in the complex behavior of the whole system. LINKS will bring together interdisciplinary theories and developments in finance, environmental economics, sociology, computer science, network analysis and complexity in an integrated approach to study and model climate finance. Taking this approach will allow advancements in at least three directions: i) a new theoretical approach to account for complexity thinking and systemic perspective in climate finance, ii) more empirical analyses on networks structures of low-carbon investments and their dynamics to shape the development of the climate finance system, iii) policy modelling analyses to explore whether specific architectures of the climate finance system have significant impact on the effectiveness of climate public policies and invested public resources. LINKS will thus deliver robust conclusions on how the financial system could contribute to the required investments to achieve the low-carbon transition."
CALENDARS,Co-production of seasonal representations for adaptive institutions,"Climate change may be undermining the stock of seasonal representations that society draws on to understand and live according to the weather. The CALENDARS project studies how modern society represents seasons, and how these representations shape institutions and help people live with seasonal change. The project opens an important emerging field in climate adaptation research by examining the representations of ‘normal’ seasons underlying key institutions, assesses their quality for successful adaptation to rapid climate change, and analyses facilitators and barriers to adopting representations more flexibly to new climates. It contributes a novel perspective on how to transform our institutions – from schools to farmer cooperatives – from the foundational culture and representations up, to better fit the changing seasonal cycles we are experiencing. CALENDARS empirically explores the relationship between different institutions’ ideas of seasons and their successful adaptation through an in-depth comparative study of a set of institutions in two local communities, in Norway and New Zealand. It is steered by an overall objective to: ‘Advance knowledge and understanding of how seasonal representations shape and are shaped by institutions, and critically appraise the quality of these representations for contributing to successful adaptation to seasonal change’. Conceptually, CALENDARS looks at representations as continuously ‘co-produced’ at the boundary of nature and society, and society and institutions. It tests a novel reconceptualisation of co-production as a prism. with each of the project’s three phases looking at the complex processes by which representations emerge through different ‘lenses’ of co-production. Methodologically, the project tests the feasibility of a novel basket of bespoke methods spanning narrative interviews, calendar boundary objects and collaborative sustainability science."
CONSULTATIONEFFECTS,"Effects of stakeholder consultations on inputs, processes and outcomes of executive policymaking","Consultations with stakeholders (citizens and interest organizations) are frequently used by executive bureaucracies to design policies and formulate legislation. National ministries, regulatory agencies and the European Commission employ a variety of consultation designs that combine different practices - public consultations, public hearings, workshops, expert groups, advisory committees. Consultations are key to European economic growth strategies such as the Lisbon Agenda and Europe 2020. Despite their near ubiquitous use and legitimising rhetoric, there is currently no systematic analysis assessing empirically the assumption that stakeholders’ participation in policymaking via consultations improves policymaking and results in better outcomes and more legitimate governance. This project aims to address this gap and to systematically investigate and explain the effects of stakeholder consultation designs on policy inputs, processes and outcomes of executive policymaking in 29 political systems: all 28 EU Member States and the EU polity. The project pioneers a path-breaking conceptualisation of consultation designs as representative institutions similar to electoral systems. They play a key instrumental role in the institutional balance of power and constitute a new source of bureaucratic reputation, autonomy and power. The project elaborates an original theory explaining consultation effects on policymaking that accounts for the intrinsic challenges of democratising twenty-first century bureaucracies, and the inherent trade-offs of democratic and technocratic policymaking. Empirically, the project breaks new ground by designing an ambitious data collection strategy aimed to construct an unprecedented, cross-national, comparative dataset on stakeholder consultation designs and characteristics of inputs, processes, outputs and outcomes observed at policy proposal level, across policy areas and political systems."
BIT-ACT,Bottom-up initiatives and anti-corruption technologies: how citizens use ICTs to fight corruption,"Corruption is a global challenge that affects the lives of millions of citizens. In the past decade, Information and Communication Technologies (ICTs) have become indispensable tools in the fight to reduce corruption, especially when employed from the bottom-up by civil society organizations. While pioneering initiatives in this direction have flourished, to date we only have unsystematic and descriptive evidence regarding how they work and the associated consequences. With the objective of significantly advancing knowledge on this topic, BIT-ACT will open a new line of inquiry by investigating what I call anti-corruption technologies (ACTs) to: (1) assess how civil society organizations engage with ACTs to counter corruption, (2) appraise how ACTs enable intersections between bottom-up and top-down efforts against corruption, and (3) evaluate how ACTs blend with the transnational dimension in the struggle against corruption. Based on an interdisciplinary framework that combines corruption studies, science and technology studies and social movement studies, BIT-ACT will use the constructivist grounded theory method to analyze a combination of textual and visual data in a comparative and transnational research design including nine countries – Algeria, Bangladesh, Brazil, Estonia, India, Italy, Spain, Ukraine, Uruguay. BIT-ACT will be groundbreaking in three ways. At the theoretical level, it will expand the debate on anti-corruption providing grounded concepts and models to explain ACTs. at the empirical level, it will advance knowledge on how the usage of ACTs is changing the relationship between citizens and democratic institutions. at the methodological level, it will innovate in the use of grounded theory assessing a new standard for cross-national comparative grounded theory. Finally, BIT-ACT will produce sound and useful knowledge for the stakeholders involved in the fight against corruption worldwide by suggesting how to best employ ICTs from the bottom-up."
FIDELIO,Forecasting social Impacts of bioDiversity consErvation poLicies In EurOpe,"Designating Protected Areas (PAs) is the most important policy tool for biodiversity conservation. Over 100 new PAs have been established in the past 36 months in European Union territory. However, effective management of PAs is often obstructed by conflicts mainly associated with the social impacts (SIs) imposed on local communities by their establishment. Despite the importance of these SIs there are certain aspects in this field that remain significantly under-researched. There is now an increasing need to incorporate SI assessments in decision making processes by providing a clear framework explaining how perceptions of these impacts are created and predicting their change in the future. This will support the achievement of international goals for biodiversity conservation and adaptation to climate change as well as better accounting for social justice issues for communities dependent on protected natural resources. The aim of FIDELIO is to develop for the first time a new paradigm in order to understand how perceptions of SIs are formulated taking into consideration the dimensions of space and time. FIDELIO will assist in increasing public engagement and the incorporation of local opinions in decision-making. It will also facilitate the process of policy development and a reduction in conflicts between different stakeholders in PAs. FIDELIO will last 5 years and its research objectives will be explored through the application of a mixed-methods approach including the implementation of two rounds of social surveys in 4 PAs across Europe and the testing of the framework in 15 additional PAs. This is an extremely timely project considering the steady increase of new PAs and the re-designation of current ones. FIDELIO will contribute to the better understanding of SIs and facilitate predictions for their change in the future, while assisting in maximizing social benefits for local communities arising from the designation of a PA."
IMAGINE,"Geographical imaginations and the (geo)politics of volcanic risk: cultures, knowledges, actions","Volcanoes can be cultural symbols, a source of fear, of fascination and of scientific study and a practical problem for civil protection: they involve complex social, cultural and political dynamics, and often have multi-scalar, trans-border impacts. Yet the management of volcanic risk tends to be strongly dependent on uncertain information from physical scientists about volcanic activity, with social scientific studies concentrating on social vulnerability and communication, and there is a relative dearth of studies that address the cultural and (geo)political contexts of scientific knowledge production in particular places. Geographers have explored the role of “geographical imaginations” in scientific discourses in other fields such as climate change: people, including scientists, imagine the social and physical landscapes around them. This project seeks to combine science studies, human geography and disaster risk reduction to provide a holistic approach to volcanic risk, and inform ongoing discussions about scientific advice in disasters more broadly, through a consideration of the geographical imaginations of scientists and populations. It focuses on understanding volcanic and disaster risk as a consequence of complex interactions and relationships between landscape, community, science and politics that blur the boundaries between society and nature. It combines methods from the social and physical sciences in Latin America and East Africa to investigate: (i) the ways in which scientists and people who live on volcanoes interpret and live with their environment. (ii) the interaction of national authorities with these modes of living, and how national borders affect them. (iii) the power dynamics of warnings within these contexts and across them. (iv) the implications of this approach for disaster risk reduction more broadly. Outcomes will include two books, several sets of scientific papers and three international meetings."
HRNUDGE,A NUDGE IN THE RIGHTS DIRECTION? REDESIGNING THE ARCHITECTURE OF HUMAN RIGHTS REMEDIES,"Recent years have seen a renewed interest in the effectiveness of human rights law and judgments, yet almost no attention has been given to the impact of remedies on states’ compliance practices or the internalisation of human rights into their domestic legal systems. Through a combination of quantitative and qualitative research in six countries, the project aims to expose the dynamics of the (non)compliant state and the efficacy of different types of remedies in changing the behaviour of human rights violators. These goals will be achieved through three sub-studies: (1) an empirical study of the case law of the European Court of Human Rights (ECtHR) to determine the compliance and internalisation practices and their link to different remedies. (2) the exploration and analysis of states’ internalisation practices and policies (including the identification of players that shape this practice) to determine whether remedies play a crucial role in shifting states’ actions. (3) a computer simulation to discover how we can change the architecture of human rights remedies to increase compliance and internalisation, and to deter future violations. The central aim of the project is to identify new remedy options – incentives or nudges – which human rights institutions can use to deter future violations. Using the example of the ECtHR and its caselaw, the research will build on insights from behavioural economics to interrogate widespread assumptions about monetisation of human rights, public shaming, and deference shown to states in the specification of remedies. Through computer simulation, the project will aim to predict how monetary and non-monetary remedies could be used separately or together to alter the behaviour of states and their key players. The research will be ground-breaking in many ways, reshaping the field of human rights remedies and contributing crucially to the emerging field of behavioural international law."
IMAGINE,"EUROPEAN CONSTITUTIONAL IMAGINARIES: UTOPIAS, IDEOLOGIES AND THE OTHER","While scholars have presented and promoted a series of specific theories of EU constitutionalism, no one has yet attempted to analyse their wider intellectual context and the relationship among them – what we call here ‘European constitutional imaginaries’ (ECIs). In addition, IMAGINE does not limit this general analysis to the mainstream thinkers writing for the audience located at the supranational/transnational level. It includes the perspective of thinkers writing in particular EU member states. IMAGINE seeks to uncover whether there are individuals and ideas that have made important, yet often overlooked, contributions to ECIs. Crucially, IMAGINE puts emphasis on post-communist Europe’ experience, hitherto mostly ignored in EU constitutional scholarship. As a result, IMAGINE will provide the first-ever synthesis and critical evaluation of the core theories of EU constitutionalism, theorizing their mutual relationship and the way in which they have influenced each other. The overarching objective is to provide a novel account of ECIs: one informed by their intellectual history, which comprises both Old and the post-communist Europe, and which seeks to understand the various problems that lead some people to reject EU constitutionalism and its core values, seeing them as mere utopias or oppressing ideologies. IMAGINE employs an innovative combination of research methods: empirical surveys, citation network analyses and elite in-depth interviews, together with traditional legal analysis. It will involve experts from particular member states though a number of workshops and a conference organized by the IMAGINE Team. The PI is uniquely placed to realise IMAGINE: now based as a Professor of EU law at an elite socio-legal research centre iCourts (University of Copenhagen), he has participated in EU constitutional discourse both as a scholar and practitioner in one of the member states of post-communist Europe for more than 10 years."
JustSites,The Global Sites of International Criminal Justice,"JustSites studies the multitude of localities in which international criminal justice is produced, received and has impact. Building an innovative scientific vocabulary, the project understands these justice sites to be social topographies in which the political, legal and professional activities that collectively create international criminal justice are developed. The justice sites include locations in which forensic exhumations are carried out, NGO offices in conflict zones, foreign ministries, private law firms, media outlets, academic research centers, and the international criminal courts. These sites are closely related, and all depend on and compete with each other to define the direction of international criminal justice. With its analysis of justice sites, the project moves beyond the conventional focus on courts and their context to investigate instead the balances of authority and power that affect the relations between these topographies and thus drive the development of international criminal justice as a field of law. To investigate the relational topography of justice sites, the multidisciplinary project analyzes how these sites produce international criminal justice ideas and practices, and how such ideas and practices are received and have impact in other sites. By following the impact of ideas and practices as they move from one site to another, the relative and perceived authority and power of these sites will be identified and analyzed. Through their productive and receptive character, the justice sites also communicate the results of international criminal justice to broader audiences, labelling them in the process as a success or a failure. Therefore, contributing the first investigation of the topography of justice sites is not only of significant value as frontier research, but is crucial for understanding the wider societal, legal and political impact of this field of law."
ImagiDem,Imagi(ni)ng Democracy: European youth becoming citizens by visual participation,"The current political and institutional crises render the future of European democracy uncertain. To gain deeper insights into what the current discontent may lead to, and how to address it for the good of an equal and inclusive democracy, we have to study future political actors, today’s young citizens, and examine what are the means of political action prevalent to them. The public sphere of today’s youth is increasingly dominated by visual content, and therefore the visual dimension of political participation is to be a key concern in research thereof. The current youth’s understanding of political action – building arguments, mobilizing, and participating – is likely to become firmly anchored in repertoires of visual participation. ImagiDem will explore, analyze, and conceptualize visual participation of young European citizens in order to formulate a model of democratic practices in the 2020s. ImagiDem addresses visual political participation and democratic practices among young citizens in the European context using a radical triple-strategy: it combines visual ethnography with computational big data minining and analysis, and deploys this combination to a comparative research setting. The project design includes four countries of comparison – Finland, France, Germany, and Portugal – with both an ethnographic and a computational subproject realized in each of them. Both methodological approaches – comparative online ethnography, and computational, machine learning based analysis of large sets of social media image data – are risky and hitherto scarcely explored. The theoretical challenge ImagiDem takes is to develop pragmatist theorizing of visual justification and engagements on the one hand, and visual cultural toolkits and frames, on the other. With this methodologico-theoretical toolkit, ImagiDem provides overarching analysis of the future of European democracy."
WILDTRADE,Quantifying the global patterns and trends of the illegal wildlife trade: from artificial intelligence to financial market analysis,"Illegal wildlife trade is one of the major threats driving the global extinction crisis. Despite political will to halt the problem, the magnitude and scale of illegal wildlife trade have been relatively poorly studied compared to other threats affecting biodiversity conservation. Lack of data and complexities in determining illegal trade volumes and the availability of illegal wildlife products in the marketplace have thus far limited progress in research. The socio-ecological and economic drivers underlying the illegal wildlife trade remain unclear. The goal of this project is, for the first time with this extent and detail, to quantify global patterns and trends of the illegal wildlife trade and how market forces shape them. The deluge of information from digital technologies in the ‘Information Age’ combined with the development of new artificial intelligence techniques will allow me to quantify the global patterns and trends of the illegal wildlife trade at an unprecedented spatio-temporal detail. Illegal wildlife trade is booming online and I hypothesize that Big Data mined from social media platforms can help identify which wildlife products are traded and to assess motivations behind the trade. I plan to combine such novel, geotagged and temporally accurate, information with other spatio-temporal datasets on law enforcement and human pressure, to identify the global hotspots under pressure from illegal wildlife trade and quantify the flow of wildlife products between these hotspots and the marketplaces in demand countries. I also plan to investigate how pervasive market forces underline the global patterns and trends of the illegal wildlife trade. The proposed research will provide (i) novel concepts and methods for conservation science and identify (ii) species and areas most under pressure from illegal wildlife trade globally, (iii) the trade routes and flow of wildlife products. and (iv) the drivers underlying the illegal wildlife trade."
